trait	cho	clm
1,5-anhydroglucitol levels	0.4;0.2;0.3;0.1;0.2;0.6;0.2;0.3;0;0.4;0.2;0.2;0.3;0.3;0.1;0.2;0.3;0.2;0.3;0.4;0.2;0.3;0.3;0.3;0.3;0.1;0.4;0.2;0.5;0.2;0.2;0.3;0.3;0.2;0.2;0.4;0.3;0.2;0;0.1;0.4;0.3;0.6;0.2;0.1;0.3;0;0.1;0.3;0.1;0.2;0.4;0.5;0.2;0.2;0.1;0.2;0.4;0.3;0.4;0.2;0.2;0.3;0.4;0.3;0.3;0.4;0.2;0.4;0.1;0.3;0.3;0;0.5;0.4;0.2;0.3;0.2;0.2;0.1;0.3;0.1;0.3;0.4;0.4;0.1;0.3;0.2;0.2;0.2;0.4;0.2;0.1;0.2	0.166666666666667;0.25;0.166666666666667;0.25;0.0833333333333333;0.416666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.0833333333333333;0.0833333333333333;0.166666666666667;0.25;0.166666666666667;0.25;0;0.416666666666667;0.25;0;0.0833333333333333;0.0833333333333333;0.25;0;0.166666666666667;0.25;0.25;0;0.166666666666667;0.166666666666667;0.25;0.0833333333333333;0.0833333333333333;0.166666666666667;0.25;0.166666666666667;0.25;0.166666666666667;0.166666666666667;0.25;0;0.0833333333333333;0.0833333333333333;0.333333333333333;0.25;0.0833333333333333;0.0833333333333333;0.416666666666667;0.0833333333333333;0.333333333333333;0.25;0.166666666666667;0.333333333333333;0.25;0.166666666666667;0.333333333333333;0.5;0.333333333333333;0.0833333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0.0833333333333333;0.25;0.5;0.25;0.166666666666667;0.25;0.25;0.166666666666667;0;0.0833333333333333;0.166666666666667;0.166666666666667;0.25;0.0833333333333333;0.0833333333333333;0.25;0.416666666666667;0.0833333333333333;0.25;0.25;0;0.25;0.0833333333333333;0.25;0.333333333333333;0.166666666666667;0.333333333333333;0.5;0.416666666666667;0.25;0.333333333333333;0.166666666666667;0.166666666666667
Abdominal aortic aneurysm	0.45;0.4;0.35;0.3;0.3;0.2;0.45;0.3;0.2;0.2;0.2;0.15;0.4;0.4;0.15;0.1;0.35;0.25;0.25;0.35;0.4;0.1;0.3;0.25;0.25;0.4;0.5;0.3;0.3;0.15;0.3;0.3;0.35;0.3;0.35;0.3;0.3;0.4;0.2;0.5;0.45;0.4;0.4;0.3;0.3;0.3;0.3;0.2;0.4;0.2;0.4;0.2;0.3;0.3;0.4;0.25;0.3;0.35;0.3;0.3;0.3;0.35;0.15;0.35;0.3;0.4;0.2;0.25;0.25;0.4;0.3;0.35;0.45;0.35;0.3;0.15;0.2;0.3;0.4;0.3;0.4;0.3;0.3;0.3;0.5;0.3;0.45;0.45;0.25;0.45;0.3;0.2;0.3;0.25	0.3;0.133333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.2;0.266666666666667;0.366666666666667;0.266666666666667;0.333333333333333;0.3;0.366666666666667;0.433333333333333;0.433333333333333;0.466666666666667;0.3;0.233333333333333;0.233333333333333;0.3;0.1;0.266666666666667;0.333333333333333;0.2;0.266666666666667;0.2;0.233333333333333;0.233333333333333;0.133333333333333;0.333333333333333;0.1;0.366666666666667;0.266666666666667;0.233333333333333;0.266666666666667;0.366666666666667;0.266666666666667;0.166666666666667;0.266666666666667;0.266666666666667;0.4;0.3;0.466666666666667;0.2;0.2;0.2;0.266666666666667;0.233333333333333;0.3;0.333333333333333;0.166666666666667;0.3;0.266666666666667;0.133333333333333;0.3;0.266666666666667;0.333333333333333;0.266666666666667;0.3;0.2;0.233333333333333;0.2;0.366666666666667;0.2;0.2;0.333333333333333;0.166666666666667;0.266666666666667;0.366666666666667;0.4;0.333333333333333;0.366666666666667;0.4;0.366666666666667;0.266666666666667;0.2;0.233333333333333;0.3;0.166666666666667;0.233333333333333;0.233333333333333;0.2;0.266666666666667;0.3;0.333333333333333;0.266666666666667;0.3;0.4;0.166666666666667;0.266666666666667;0.233333333333333;0.4;0.366666666666667;0.2;0.3
Ability to confide in someone	0.333333333333333;0.5;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.5;0.5;0.5;0.333333333333333;0.666666666666667;0.166666666666667;0.5;0.166666666666667;0.166666666666667;0.5;0.5;0.666666666666667;0.5;0;0.333333333333333;0.166666666666667;0.5;0.5;0.333333333333333;0.5;0.5;0.666666666666667;0.333333333333333;0.5;0.5;0.166666666666667;0.666666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.833333333333333;0.166666666666667;0.166666666666667;0.5;0.5;0.166666666666667;0.5;0.166666666666667;0.333333333333333;0.666666666666667;0.666666666666667;0.5;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0;0.333333333333333;0;0.333333333333333;0.5;0.5;0.5;0.666666666666667;0.5;0.5;0;0.333333333333333;0.666666666666667;0.666666666666667;0.166666666666667;0.5;0.5;0;0.5;0.666666666666667;0.5;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.5;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.333333333333333	0.375;0.875;0.75;0.625;0.375;0.375;0.25;0.5;0.5;0.5;0.25;0.375;0.375;0.5;0.25;0.375;0.375;0.375;0;0.25;0.25;0.375;0.25;0.375;0.5;0.375;0.375;0.625;0.75;0.25;0.5;0.375;0.5;0.5;0.625;0.375;0.375;0.625;0.375;0.375;0.375;0.5;0.25;0.5;0.25;0.625;0.25;0.125;0.5;0;0.5;0.625;0.625;0.625;0.25;0.375;0.375;0.5;0.5;0.125;0.625;0.375;0.875;0.5;0.625;0.5;0.375;0.375;0.375;0.25;0.75;0.125;0.5;0.625;0.5;0.375;0.375;0.5;0.375;0.375;0.625;0.5;0.375;0.375;0.625;0.375;0.375;0.375;0.125;0.5;0.25;0.25;0.375;0.375
Accelerometer-based physical activity measurement average acceleration	0.75;0.625;0.625;0.75;0.875;0.875;0.625;0.5;0.75;1;0.75;0.75;0.75;0.875;0.75;0.75;0.875;0.75;0.625;0.875;0.625;0.875;0.875;0.625;0.875;0.75;0.75;0.875;0.625;0.75;0.875;0.75;0.625;0.625;0.625;1;0.875;0.625;1;1;0.625;0.625;0.875;0.75;0.875;0.75;0.625;0.5;0.625;0.625;0.5;0.75;0.5;0.875;0.75;0.625;0.625;0.375;0.875;0.625;0.5;1;0.625;1;0.875;0.875;0.5;0.625;1;0.75;0.625;0.625;0.75;0.625;0.625;0.875;0.75;0.5;0.875;0.625;0.75;0.625;0.625;0.75;0.75;0.875;0.75;0.75;0.75;0.75;0.75;0.875;0.75;0.625	0.8;0.8;0.8;0.7;0.8;0.7;0.8;0.8;0.9;0.9;1;0.8;0.5;0.8;0.7;0.7;0.8;0.5;0.9;0.8;0.9;0.7;0.9;0.9;0.9;0.9;0.8;0.8;0.9;1;0.9;0.7;0.7;0.6;0.8;0.8;0.8;0.9;0.6;0.8;0.8;1;0.8;0.8;0.8;1;0.9;0.8;0.9;0.9;0.7;0.8;0.8;0.9;0.7;0.9;0.9;0.7;0.6;0.7;0.8;0.9;0.7;0.6;0.8;0.8;0.8;0.8;0.6;0.9;0.6;0.9;1;1;0.7;1;0.9;0.7;0.8;0.8;0.6;1;0.9;0.8;0.9;0.9;0.8;0.8;0.6;0.8;0.9;1;0.8;0.9
Accelerometer-based physical activity measurement fraction of time with accelerations >425 milli-gravities	0.5;0.75;0.25;0.5;0.25;0.75;0.25;0.75;0;1;0.25;0.75;0.5;0.5;0.75;0.5;0.5;0.75;0.25;0.25;0.75;0.75;0.25;0.25;0.25;0.5;0.25;0.5;0.75;0.5;0;0.25;0.75;0.75;0.5;0.75;0.5;0.75;0.25;0.75;0.75;0.5;0;0.5;0.25;0.75;0.75;1;0.5;0.75;0.25;0.25;1;0.25;0.75;0.5;0.25;0.5;0.5;0.25;0.75;0;0.25;0.25;0.5;0.5;0.75;0.25;0.75;0.75;0.5;0.5;0;0.75;0.5;0.75;0.75;0.25;0.5;0.5;0.25;0.25;0.5;0.75;0.75;0.5;0.5;0.25;0.5;0.5;0.25;0.75;0.5;0.5	0.25;0.25;0.5;0.75;0.5;0.5;0.25;0.5;0.75;0.5;0.75;0.75;0.5;0.75;0.5;0.5;0.25;0.5;0.75;0.75;0.25;0.5;1;0;1;1;0.5;0.25;0.25;0.25;0.5;0.25;0.5;1;0.5;0.75;0.5;0.25;0.75;1;0.5;0.75;0.25;0;0.5;0.75;0.75;0.75;0.25;0.75;0.5;1;0.25;0.25;0.5;0.75;0.75;0.75;1;1;0.5;0.75;1;0.75;0.5;0.75;0.25;0.25;0.5;0.75;0.75;0.5;0.25;0.5;0.75;0.75;0.75;0.75;0.5;0.75;0.75;0.25;1;0.25;0.5;0.25;0.5;1;0.75;1;0.75;0.75;1;0.5
Achilles tendinopathy	0;0.25;0.25;0;0;0;0.25;0;0;0.25;0.25;0.5;0;0;0;0;0.25;0.25;0.25;0;0;0;0;0;0;0.25;0;0;0.25;0.25;0;0.5;0;0.25;0;0;0.25;0.25;0;0.25;0;0;0.25;0.25;0.25;0.25;0;0.25;0.25;0;0;0;0.25;0;0.5;0.25;0.25;0;0.25;0.25;0;0;0.25;0;0.25;0.25;0;0.25;0;0.25;0.25;0;0.25;0;0.25;0;0.25;0.25;0.25;0.5;0;0;0.25;0;0;0.5;0;0;0;0.25;0;0.25;0;0	0;0.25;0;0;0;0;0.25;0;0;0;0;0.25;0;0.25;0;0.25;0;0;0;0;0.25;0.25;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0.25;0;0.25;0;0;0;0;0;0;0.25;0;0;0.25;0;0;0;0.25;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0;0.25;0;0;0.25;0.25;0;0;0;0;0.25;0;0;0;0
Acne severe	0.333333333333333;0.333333333333333;0.291666666666667;0.375;0.5;0.375;0.291666666666667;0.375;0.291666666666667;0.375;0.375;0.25;0.375;0.291666666666667;0.208333333333333;0.375;0.25;0.333333333333333;0.291666666666667;0.375;0.333333333333333;0.375;0.25;0.333333333333333;0.25;0.375;0.333333333333333;0.333333333333333;0.25;0.5;0.291666666666667;0.333333333333333;0.333333333333333;0.25;0.375;0.333333333333333;0.416666666666667;0.291666666666667;0.375;0.333333333333333;0.208333333333333;0.375;0.375;0.333333333333333;0.291666666666667;0.375;0.208333333333333;0.333333333333333;0.333333333333333;0.416666666666667;0.333333333333333;0.208333333333333;0.375;0.458333333333333;0.333333333333333;0.375;0.291666666666667;0.208333333333333;0.375;0.291666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.208333333333333;0.333333333333333;0.333333333333333;0.25;0.208333333333333;0.375;0.291666666666667;0.25;0.208333333333333;0.166666666666667;0.333333333333333;0.5;0.25;0.375;0.25;0.375;0.375;0.375;0.375;0.208333333333333;0.291666666666667;0.333333333333333;0.25;0.166666666666667;0.208333333333333;0.208333333333333;0.416666666666667;0.291666666666667;0.416666666666667;0.333333333333333	0.25;0.25;0.1875;0.25;0.21875;0.125;0.15625;0.15625;0.125;0.375;0.21875;0.28125;0.21875;0.28125;0.3125;0.21875;0.15625;0.3125;0.1875;0.3125;0.15625;0.34375;0.21875;0.21875;0.21875;0.1875;0.1875;0.25;0.25;0.21875;0.28125;0.3125;0.1875;0.25;0.125;0.15625;0.28125;0.21875;0.3125;0.375;0.15625;0.15625;0.28125;0.1875;0.15625;0.21875;0.15625;0.28125;0.21875;0.46875;0.34375;0.28125;0.21875;0.28125;0.375;0.21875;0.3125;0.21875;0.15625;0.09375;0.1875;0.21875;0.21875;0.21875;0.40625;0.28125;0.21875;0.15625;0.21875;0.28125;0.21875;0.21875;0.1875;0.15625;0.28125;0.1875;0.21875;0.28125;0.1875;0.25;0.1875;0.125;0.28125;0.25;0.28125;0.28125;0.15625;0.125;0.3125;0.15625;0.09375;0.21875;0.28125;0.21875
Activated partial thromboplastin time	0.285714285714286;0.285714285714286;0.357142857142857;0.357142857142857;0.428571428571429;0.357142857142857;0.428571428571429;0.5;0.571428571428571;0.571428571428571;0.428571428571429;0.5;0.285714285714286;0.571428571428571;0.5;0.5;0.428571428571429;0.428571428571429;0.5;0.642857142857143;0.5;0.285714285714286;0.428571428571429;0.357142857142857;0.5;0.5;0.428571428571429;0.5;0.357142857142857;0.214285714285714;0.5;0.285714285714286;0.428571428571429;0.357142857142857;0.5;0.5;0.5;0.428571428571429;0.571428571428571;0.428571428571429;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.428571428571429;0.428571428571429;0.357142857142857;0.357142857142857;0.428571428571429;0.285714285714286;0.357142857142857;0.428571428571429;0.5;0.428571428571429;0.5;0.357142857142857;0.5;0.5;0.5;0.357142857142857;0.428571428571429;0.428571428571429;0.428571428571429;0.357142857142857;0.428571428571429;0.214285714285714;0.5;0.5;0.285714285714286;0.428571428571429;0.357142857142857;0.357142857142857;0.214285714285714;0.285714285714286;0.357142857142857;0.642857142857143;0.5;0.285714285714286;0.571428571428571;0.5;0.428571428571429;0.142857142857143;0.5;0.5;0.5;0.285714285714286;0.428571428571429;0.357142857142857;0.5;0.357142857142857;0.571428571428571;0.285714285714286;0.428571428571429;0.357142857142857	0.375;0.5625;0.4375;0.5625;0.5625;0.6875;0.3125;0.5625;0.625;0.5;0.6875;0.5625;0.5625;0.625;0.625;0.5625;0.6875;0.625;0.5;0.5625;0.625;0.625;0.5;0.625;0.625;0.6875;0.5;0.6875;0.5625;0.8125;0.625;0.5625;0.5625;0.625;0.5;0.375;0.5;0.625;0.5625;0.75;0.625;0.625;0.5;0.625;0.6875;0.5;0.5625;0.5;0.5;0.6875;0.5;0.5;0.6875;0.5625;0.6875;0.625;0.5;0.6875;0.5;0.3125;0.4375;0.625;0.5625;0.4375;0.3125;0.5625;0.5625;0.5625;0.375;0.5;0.375;0.5625;0.5625;0.75;0.625;0.625;0.5625;0.5625;0.625;0.5625;0.5625;0.75;0.625;0.5;0.5625;0.6875;0.8125;0.5;0.625;0.5;0.75;0.4375;0.5625;0.5625
Acute insulin response insulin secretion adjusted	None	1;0;0;0.5;0.5;0;0.5;1;0;0;1;0.5;0.5;1;0.5;1;0.5;0.5;0.5;1;0.5;0.5;0.5;0;1;0.5;1;0.5;1;1;1;0.5;0.5;0.5;0.5;0.5;1;0;0;0.5;0.5;0;1;0.5;1;0;0.5;0.5;1;0.5;1;0;1;0.5;1;0;0.5;0.5;0.5;0;1;0;1;0.5;0.5;0.5;1;0.5;0.5;0;0.5;1;0;1;0.5;0;0;1;0.5;0.5;0.5;1;0.5;0.5;1;0;1;0;0.5;1;0;0.5;0.5;0.5
Acute insulin response	0.642857142857143;0.428571428571429;0.428571428571429;0.428571428571429;0.285714285714286;0.142857142857143;0.5;0.5;0.357142857142857;0.428571428571429;0.428571428571429;0.428571428571429;0.428571428571429;0.642857142857143;0.5;0.642857142857143;0.428571428571429;0.571428571428571;0.5;0.285714285714286;0.428571428571429;0.5;0.214285714285714;0.571428571428571;0.285714285714286;0.428571428571429;0.428571428571429;0.571428571428571;0.428571428571429;0.5;0.428571428571429;0.357142857142857;0.5;0.5;0.5;0.357142857142857;0.285714285714286;0.5;0.285714285714286;0.428571428571429;0.5;0.428571428571429;0.428571428571429;0.428571428571429;0.357142857142857;0.285714285714286;0.5;0.5;0.5;0.5;0.428571428571429;0.428571428571429;0.357142857142857;0.5;0.357142857142857;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.428571428571429;0.5;0.428571428571429;0.428571428571429;0.357142857142857;0.357142857142857;0.428571428571429;0.357142857142857;0.428571428571429;0.571428571428571;0.357142857142857;0.5;0.5;0.428571428571429;0.357142857142857;0.214285714285714;0.5;0.571428571428571;0.428571428571429;0.428571428571429;0.357142857142857;0.5;0.357142857142857;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.428571428571429;0.357142857142857;0.428571428571429;0.428571428571429;0.5;0.357142857142857;0.357142857142857;0.5	0.428571428571429;0.428571428571429;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.357142857142857;0.428571428571429;0.428571428571429;0.357142857142857;0.357142857142857;0.428571428571429;0.5;0.357142857142857;0.357142857142857;0.285714285714286;0.357142857142857;0.428571428571429;0.214285714285714;0.428571428571429;0.214285714285714;0.357142857142857;0.357142857142857;0.285714285714286;0.428571428571429;0.5;0.357142857142857;0.428571428571429;0.357142857142857;0.285714285714286;0.357142857142857;0.428571428571429;0.571428571428571;0.357142857142857;0.285714285714286;0.357142857142857;0.357142857142857;0.285714285714286;0.5;0.357142857142857;0.285714285714286;0.5;0.5;0.428571428571429;0.357142857142857;0.285714285714286;0.357142857142857;0.285714285714286;0.5;0.357142857142857;0.357142857142857;0.5;0.357142857142857;0.5;0.5;0.357142857142857;0.5;0.357142857142857;0.285714285714286;0.5;0.428571428571429;0.5;0.428571428571429;0.428571428571429;0.285714285714286;0.357142857142857;0.5;0.357142857142857;0.428571428571429;0.357142857142857;0.285714285714286;0.5;0.285714285714286;0.214285714285714;0.5;0.357142857142857;0.571428571428571;0.285714285714286;0.428571428571429;0.357142857142857;0.357142857142857;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.642857142857143;0.428571428571429;0.285714285714286;0.357142857142857;0.357142857142857;0.428571428571429;0.285714285714286;0.5;0.571428571428571
